Ensayo,Piso,Tabique,Punto,Posición,Designacion,1,2,3,4,5,6,7,8,9,Media,Lecturas Válidas,Media lect válidas,Coef. Corr. Ángulo,Coef. Corr. Calibracion,Índice escler.
143,1SS,7,7,Arriba,1SS-7-7,49,50,52,52,52,52,49,53,47,50.66666667,9,50.66666667,0,0,50.66666667
144,1SS,7,8,Arriba,1SS-7-8,44,47,51,45,45,47,42,46,47,46,8,45.375,0,0,45.375
145,1SS,7,9,Arriba,1SS-7-9,46,48,48,42,46,46,43,46,41,45.11111111,9,45.11111111,0,0,45.11111111
146,1SS,7,10,Arriba,1SS-7-10,46,48,46,47,46,44,45,47,47,46.22222222,9,46.22222222,0,0,46.22222222
147,1SS,8,1,Abajo,1SS-8-1,45,48,48,45,44,49,46,46,48,46.55555556,9,46.55555556,0,0,46.55555556
148,1SS,8,2,Abajo,1SS-8-2,45,43,45,47,46,46,47,45,48,45.77777778,9,45.77777778,0,0,45.77777778
149,1SS,8,3,Abajo,1SS-8-3,46,46,44,46,48,50,45,49,49,47,9,47,0,0,47
150,1SS,8,4,Abajo,1SS-8-4,43,46,47,46,46,50,47,47,47,46.55555556,9,46.55555556,0,0,46.55555556
151,1SS,8,5,Abajo,1SS-8-5,48,44,46,46,48,42,44,44,46,45.33333333,9,45.33333333,0,0,45.33333333
152,1SS,8,6,Arriba,1SS-8-6,52,52,50,52,52,51,47,53,51,51.11111111,9,51.11111111,0,0,51.11111111
153,1SS,8,7,Arriba,1SS-8-7,49,42,49,42,51,45,52,50,47,47.44444444,7,49,0,0,49
154,1SS,8,8,Arriba,1SS-8-8,44,45,43,50,49,50,45,49,45,46.66666667,9,46.66666667,0,0,46.66666667
155,1SS,8,9,Arriba,1SS-8-9,50,45,49,46,43,47,46,46,49,46.77777778,9,46.77777778,0,0,46.77777778
156,1SS,8,10,Arriba,1SS-8-10,46,42,44,42,45,44,44,48,44,44.33333333,9,44.33333333,0,0,44.33333333
157,1SS,1,1,Abajo,1SS-1-1,46,48,44,40,44,48,44,48,43,45,8,45.625,0,0,45.625
158,1SS,1,2,Abajo,1SS-1-2,45,43,46,47,43,43,46,48,47,45.33333333,9,45.33333333,0,0,45.33333333
159,1SS,1,3,Abajo,1SS-1-3,47,46,44,44,46,48,44,49,43,45.66666667,9,45.66666667,0,0,45.66666667
160,1SS,1,4,Abajo,1SS-1-4,51,40,48,48,47,51,51,47,49,48,8,49,0,0,49
161,1SS,1,5,Arriba,1SS-1-5,38,48,48,46,46,40,48,47,46,45.22222222,7,47,0,0,47
162,1SS,1,6,Arriba,1SS-1-6,44,42,45,50,43,44,42,44,48,44.66666667,8,44,0,0,44
163,1SS,1,7,Arriba,1SS-1-7,48,48,52,48,48,46,50,46,51,48.55555556,9,48.55555556,0,0,48.55555556
164,1SS,1,8,Arriba,1SS-1-8,44,50,49,48,48,49,49,48,51,48.44444444,9,48.44444444,0,0,48.44444444
165,1SS,2,1,Abajo,1SS-2-1,47,43,46,48,51,5,48,51,52,43.44444444,5,46.4,0,0,46.4
166,1SS,2,2,Abajo,1SS-2-2,51,51,54,50,54,51,49,49,50,51,9,51,0,0,51
167,1SS,2,3,Abajo,1SS-2-3,46,40,44,44,50,47,48,46,45,45.55555556,8,46.25,0,0,46.25
168,1SS,2,4,Abajo,1SS-2-4,49,48,45,45,44,51,47,46,44,46.55555556,9,46.55555556,0,0,46.55555556
169,1SS,2,5,Arriba,1SS-2-5,48,52,44,52,47,53,51,52,48,49.66666667,8,50.375,0,0,50.375
170,1SS,2,6,Arriba,1SS-2-6,50,51,50,53,54,51,53,48,52,51.33333333,9,51.33333333,0,0,51.33333333
171,1SS,2,7,Arriba,1SS-2-7,52,48,46,47,48,48,46,48,48,47.88888889,9,47.88888889,0,0,47.88888889
172,1SS,2,8,Arriba,1SS-2-8,42,44,46,46,49,45,44,48,45,45.44444444,9,45.44444444,0,0,45.44444444
173,2SS,4,1,Abajo,2SS-4-1,44,45,46,46,44,42,44,45,44,44.44444444,9,44.44444444,0,0,44.44444444
174,2SS,4,2,Abajo,2SS-4-2,46,44,44,46,46,45,44,42,45,44.66666667,9,44.66666667,0,0,44.66666667
175,2SS,4,3,Abajo,2SS-4-3,42,44,45,44,44,44,42,44,42,43.44444444,9,43.44444444,0,0,43.44444444
176,2SS,4,4,Abajo,2SS-4-4,44,42,44,46,47,44,44,44,43,44.22222222,9,44.22222222,0,0,44.22222222
177,2SS,4,5,Abajo,2SS-4-5,46,44,46,40,42,44,45,43,42,43.55555556,9,43.55555556,0,0,43.55555556
178,2SS,4,6,Arriba,2SS-4-6,46,44,45,45,44,42,42,43,45,44,9,44,0,0,44
179,2SS,4,7,Arriba,2SS-4-7,44,45,44,44,43,44,40,45,46,43.88888889,9,43.88888889,0,0,43.88888889
180,2SS,4,8,Arriba,2SS-4-8,46,44,42,46,47,47,43,45,44,44.88888889,9,44.88888889,0,0,44.88888889
181,2SS,4,9,Arriba,2SS-4-9,44,50,43,44,46,44,44,42,43,44.44444444,8,43.75,0,0,43.75
182,2SS,4,10,Arriba,2SS-4-10,44,43,42,43,45,43,45,44,43,43.55555556,9,43.55555556,0,0,43.55555556
183,2SS,5,1,Abajo,2SS-5-1,50,50,50,52,48,46,48,50,49,49.22222222,9,49.22222222,0,0,49.22222222
184,2SS,5,2,Abajo,2SS-5-2,40,42,42,42,42,43,42,42,44,42.11111111,9,42.11111111,0,0,42.11111111
185,2SS,5,3,Abajo,2SS-5-3,40,42,41,41,40,40,40,40,40,40.44444444,9,40.44444444,0,0,40.44444444
186,2SS,5,4,Abajo,2SS-5-4,40,43,42,40,42,40,38,40,40,40.55555556,9,40.55555556,0,0,40.55555556
187,2SS,5,5,Abajo,2SS-5-5,43,44,44,42,40,40,39,40,42,41.55555556,9,41.55555556,0,0,41.55555556
188,2SS,5,6,Arriba,2SS-5-6,48,50,54,50,48,50,50,49,54,50.33333333,9,50.33333333,0,0,50.33333333
189,2SS,5,7,Arriba,2SS-5-7,40,40,38,40,41,41,42,42,41,40.55555556,9,40.55555556,0,0,40.55555556
190,2SS,5,8,Arriba,2SS-5-8,42,42,41,42,42,42,40,42,43,41.77777778,9,41.77777778,0,0,41.77777778
191,2SS,5,9,Arriba,2SS-5-9,42,43,42,40,40,42,42,42,40,41.44444444,9,41.44444444,0,0,41.44444444
192,2SS,5,10,Arriba,2SS-5-10,46,45,50,50,49,50,47,48,48,48.11111111,9,48.11111111,0,0,48.11111111
193,2SS,7,1,Abajo,2SS-7-1,46,46,42,43,42,42,40,45,52,44.22222222,8,43.25,0,0,43.25
194,2SS,7,2,Abajo,2SS-7-2,49,52,50,49,48,50,50,50,50,49.77777778,9,49.77777778,0,0,49.77777778
195,2SS,7,3,Abajo,2SS-7-3,50,52,53,52,50,52,45,50,48,50.22222222,8,50.875,0,0,50.875
196,2SS,7,4,Abajo,2SS-7-4,50,48,50,48,46,45,50,50,50,48.55555556,9,48.55555556,0,0,48.55555556
197,2SS,7,5,Abajo,2SS-7-5,48,50,48,47,50,48,50,50,52,49.22222222,9,49.22222222,0,0,49.22222222
198,2SS,7,6,Arriba,2SS-7-6,48,43,45,47,46,48,50,45,47,46.55555556,9,46.55555556,0,0,46.55555556
199,2SS,7,7,Arriba,2SS-7-7,50,51,47,48,50,46,48,48,48,48.44444444,9,48.44444444,0,0,48.44444444
200,2SS,7,8,Arriba,2SS-7-8,46,50,50,46,50,44,48,50,52,48.44444444,9,48.44444444,0,0,48.44444444
201,2SS,7,9,Arriba,2SS-7-9,52,52,50,50,50,52,50,45,50,50.11111111,8,50.75,0,0,50.75
202,2SS,7,10,Arriba,2SS-7-10,49,49,52,50,52,49,53,50,49,50.33333333,9,50.33333333,0,0,50.33333333
203,2SS,8,1,Abajo,2SS-8-1,50,48,52,50,50,48,48,46,47,48.77777778,9,48.77777778,0,0,48.77777778
204,2SS,8,2,Abajo,2SS-8-2,50,52,48,48,50,48,47,50,50,49.22222222,9,49.22222222,0,0,49.22222222
205,2SS,8,3,Abajo,2SS-8-3,48,50,50,48,49,49,50,48,49,49,9,49,0,0,49
206,2SS,8,4,Abajo,2SS-8-4,50,50,49,50,50,50,46,52,52,49.88888889,9,49.88888889,0,0,49.88888889
207,2SS,8,5,Abajo,2SS-8-5,50,50,54,54,50,49,49,48,50,50.44444444,9,50.44444444,0,0,50.44444444
208,2SS,8,6,Arriba,2SS-8-6,42,46,38,40,49,50,52,47,46,45.55555556,6,46.66666667,0,0,46.66666667
209,2SS,8,7,Arriba,2SS-8-7,49,45,45,44,48,46,46,49,49,46.77777778,9,46.77777778,0,0,46.77777778
210,2SS,8,8,Arriba,2SS-8-8,52,52,50,48,46,50,50,50,48,49.55555556,9,49.55555556,0,0,49.55555556
211,2SS,8,9,Arriba,2SS-8-9,50,50,54,48,48,48,47,46,48,48.77777778,8,48.125,0,0,48.125
212,2SS,8,10,Arriba,2SS-8-10,45,47,45,45,46,46,45,50,52,46.77777778,8,46.125,0,0,46.125
213,2SS,1,1,Abajo,2SS-1-1,50,50,48,50,50,48,50,47,48,49,9,49,0,0,49
214,2SS,1,2,Abajo,2SS-1-2,48,50,47,47,50,50,46,48,52,48.66666667,9,48.66666667,0,0,48.66666667
215,2SS,1,3,Abajo,2SS-1-3,50,56,52,50,53,53,52,54,50,52.22222222,9,52.22222222,0,0,52.22222222
216,2SS,1,4,Abajo,2SS-1-4,52,52,49,50,50,50,46,51,50,50,9,50,0,0,50
217,2SS,1,5,Arriba,2SS-1-5,50,48,48,50,46,48,48,48,47,48.11111111,9,48.11111111,0,0,48.11111111
218,2SS,1,6,Arriba,2SS-1-6,46,46,52,52,50,50,48,46,50,48.88888889,9,48.88888889,0,0,48.88888889
219,2SS,1,7,Arriba,2SS-1-7,48,47,50,50,50,48,46,50,50,48.77777778,9,48.77777778,0,0,48.77777778
220,2SS,1,8,Arriba,2SS-1-8,52,52,52,50,51,52,53,50,52,51.55555556,9,51.55555556,0,0,51.55555556
221,2SS,2,1,Abajo,2SS-2-1,50,48,47,52,48,50,50,50,53,49.77777778,9,49.77777778,0,0,49.77777778
222,2SS,2,2,Abajo,2SS-2-2,50,53,48,48,50,52,52,50,50,50.33333333,9,50.33333333,0,0,50.33333333
223,2SS,2,3,Abajo,2SS-2-3,50,46,45,48,48,45,46,44,45,46.33333333,9,46.33333333,0,0,46.33333333
224,2SS,2,4,Abajo,2SS-2-4,46,48,44,44,45,50,52,48,48,47.22222222,9,47.22222222,0,0,47.22222222
225,2SS,2,5,Arriba,2SS-2-5,48,52,50,50,50,46,52,53,50,50.11111111,9,50.11111111,0,0,50.11111111
226,2SS,2,6,Arriba,2SS-2-6,50,51,48,54,48,50,50,54,50,50.55555556,9,50.55555556,0,0,50.55555556
227,2SS,2,7,Arriba,2SS-2-7,47,48,48,48,50,50,47,48,45,47.88888889,9,47.88888889,0,0,47.88888889
228,2SS,2,8,Arriba,2SS-2-8,50,48,48,48,48,54,47,44,46,48.11111111,8,47.375,0,0,47.375
229,3SS,4,1,Abajo,3SS-4-1,49,51,48,49,47,48,43,44,48,47.44444444,9,47.44444444,0,0,47.44444444
230,3SS,4,2,Abajo,3SS-4-2,45,43,47,39,47,41,46,48,49,45,8,45.75,0,0,45.75
231,3SS,4,3,Abajo,3SS-4-3,50,51,55,50,51,48,48,44,50,49.66666667,7,49.71428571,0,0,49.71428571
232,3SS,4,4,Abajo,3SS-4-4,48,49,40,54,44,50,53,48,50,48.44444444,7,48.85714286,0,0,48.85714286
233,3SS,4,5,Abajo,3SS-4-5,50,42,50,44,42,52,49,44,50,47,6,47.83333333,0,0,47.83333333
234,3SS,4,6,Arriba,3SS-4-6,48,48,50,46,46,42,43,44,45,45.77777778,9,45.77777778,0,0,45.77777778
235,3SS,4,7,Arriba,3SS-4-7,46,46,48,52,50,48,46,51,48,48.33333333,9,48.33333333,0,0,48.33333333
236,3SS,4,8,Arriba,3SS-4-8,51,50,52,52,49,48,54,51,50,50.77777778,9,50.77777778,0,0,50.77777778
237,3SS,4,9,Arriba,3SS-4-9,47,51,46,44,49,46,46,43,46,46.44444444,9,46.44444444,0,0,46.44444444
238,3SS,4,10,Arriba,3SS-4-10,48,46,50,50,48,45,51,54,48,48.88888889,8,48.25,0,0,48.25
239,3SS,5,1,Abajo,3SS-5-1,52,54,47,52,40,54,49,52,52,50.22222222,8,51.5,0,0,51.5
240,3SS,5,2,Abajo,3SS-5-2,55,54,53,54,48,50,50,53,49,51.77777778,9,51.77777778,0,0,51.77777778
241,3SS,5,3,Abajo,3SS-5-3,51,50,53,53,52,52,47,47,52,50.77777778,9,50.77777778,0,0,50.77777778
242,3SS,5,4,Abajo,3SS-5-4,54,54,53,56,56,55,54,51,44,53,8,54.125,0,0,54.125
243,3SS,5,5,Abajo,3SS-5-5,44,54,49,50,49,48,50,51,50,49.44444444,8,50.125,0,0,50.125
244,3SS,5,6,Arriba,3SS-5-6,53,47,52,50,46,46,48,45,51,48.66666667,9,48.66666667,0,0,48.66666667
245,3SS,5,7,Arriba,3SS-5-7,56,51,56,54,52,55,53,52,47,52.88888889,8,53.625,0,0,53.625
246,3SS,5,8,Arriba,3SS-5-8,52,53,45,50,53,53,54,56,51,51.88888889,8,52.75,0,0,52.75
247,3SS,5,9,Arriba,3SS-5-9,54,56,52,54,53,51,40,56,54,52.22222222,8,53.75,0,0,53.75
248,3SS,5,10,Arriba,3SS-5-10,54,55,50,52,52,54,52,54,52,52.77777778,9,52.77777778,0,0,52.77777778
249,3SS,1,1,Abajo,3SS-1-1,44,42,36,41,41,40,41,46,42,41.44444444,8,42.125,0,0,42.125
250,3SS,1,2,Abajo,3SS-1-2,42,43,42,42,43,41,42,42,40,41.88888889,9,41.88888889,0,0,41.88888889
251,3SS,1,3,Abajo,3SS-1-3,40,42,40,42,43,36,42,40,40,40.55555556,9,40.55555556,0,0,40.55555556
252,3SS,1,4,Abajo,3SS-1-4,40,44,44,40,44,42,45,44,44,43,9,43,0,0,43
253,3SS,1,5,Arriba,3SS-1-5,42,42,38,40,38,44,42,42,45,41.44444444,9,41.44444444,0,0,41.44444444
254,3SS,1,6,Arriba,3SS-1-6,43,42,43,42,43,43,38,42,43,42.11111111,9,42.11111111,0,0,42.11111111
255,3SS,1,7,Arriba,3SS-1-7,44,46,44,43,44,43,42,44,46,44,9,44,0,0,44
256,3SS,1,8,Arriba,3SS-1-8,42,47,44,45,44,45,46,45,44,44.66666667,9,44.66666667,0,0,44.66666667
257,3SS,2,1,Abajo,3SS-2-1,45,42,46,46,43,44,44,44,46,44.44444444,9,44.44444444,0,0,44.44444444
258,3SS,2,2,Abajo,3SS-2-2,42,46,46,44,46,44,44,44,44,44.44444444,9,44.44444444,0,0,44.44444444
259,3SS,2,3,Abajo,3SS-2-3,46,50,45,48,46,46,42,44,38,45,7,45.28571429,0,0,45.28571429
260,3SS,2,4,Abajo,3SS-2-4,44,49,46,46,46,46,46,49,49,46.77777778,9,46.77777778,0,0,46.77777778
261,3SS,2,5,Arriba,3SS-2-5,46,46,48,48,48,47,44,48,50,47.22222222,9,47.22222222,0,0,47.22222222
262,3SS,2,6,Arriba,3SS-2-6,48,46,47,45,48,47,47,48,50,47.33333333,9,47.33333333,0,0,47.33333333
263,3SS,2,7,Arriba,3SS-2-7,46,48,50,48,47,48,48,48,42,47.22222222,8,47.875,0,0,47.875
264,3SS,2,8,Arriba,3SS-2-8,48,46,49,48,50,51,46,45,44,47.44444444,9,47.44444444,0,0,47.44444444
265,3SS,7,1,Abajo,3SS-7-1,52,54,45,48,48,49,46,45,54,49,7,47.57142857,0,0,47.57142857
266,3SS,7,2,Abajo,3SS-7-2,46,41,43,45,44,45,44,41,42,43.44444444,9,43.44444444,0,0,43.44444444
267,3SS,7,3,Abajo,3SS-7-3,44,44,49,48,42,37,45,46,46,44.55555556,8,45.5,0,0,45.5
268,3SS,7,4,Abajo,3SS-7-4,45,40,47,44,42,42,38,43,42,42.55555556,9,42.55555556,0,0,42.55555556
269,3SS,7,5,Abajo,3SS-7-5,51,41,42,44,40,46,50,50,52,46.22222222,6,47.16666667,0,0,47.16666667
270,3SS,7,6,Arriba,3SS-7-6,46,45,44,44,48,44,44,50,44,45.44444444,9,45.44444444,0,0,45.44444444
271,3SS,7,7,Arriba,3SS-7-7,45,46,47,45,46,48,46,43,47,45.88888889,9,45.88888889,0,0,45.88888889
272,3SS,7,8,Arriba,3SS-7-8,46,42,48,44,44,42,38,42,44,43.33333333,8,44,0,0,44
273,3SS,7,9,Arriba,3SS-7-9,39,46,46,45,45,45,48,46,48,45.33333333,8,46.125,0,0,46.125
274,3SS,7,10,Arriba,3SS-7-10,44,43,46,47,46,50,51,54,48,47.66666667,8,46.875,0,0,46.875
275,3SS,8,1,Abajo,3SS-8-1,42,42,43,41,42,41,40,41,42,41.55555556,9,41.55555556,0,0,41.55555556
276,3SS,8,2,Abajo,3SS-8-2,42,45,45,42,45,42,42,47,41,43.44444444,9,43.44444444,0,0,43.44444444
277,3SS,8,3,Abajo,3SS-8-3,40,34,42,40,43,49,44,47,42,42.33333333,7,42.57142857,0,0,42.57142857
278,3SS,8,4,Abajo,3SS-8-4,41,42,47,38,42,43,42,40,40,41.66666667,8,41,0,0,41
279,3SS,8,5,Abajo,3SS-8-5,42,40,37,38,32,41,40,42,41,39.22222222,8,40.125,0,0,40.125
280,3SS,8,6,Arriba,3SS-8-6,47,49,49,45,43,46,46,44,47,46.22222222,9,46.22222222,0,0,46.22222222
281,3SS,8,7,Arriba,3SS-8-7,42,45,44,46,46,46,46,47,48,45.55555556,9,45.55555556,0,0,45.55555556
282,3SS,8,8,Arriba,3SS-8-8,43,45,44,44,44,42,42,44,47,43.88888889,9,43.88888889,0,0,43.88888889
283,3SS,8,9,Arriba,3SS-8-9,38,40,40,42,41,44,39,42,42,40.88888889,9,40.88888889,0,0,40.88888889
284,3SS,8,10,Arriba,3SS-8-10,42,43,44,46,42,42,38,42,46,42.77777778,9,42.77777778,0,0,42.77777778
